Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
DUCHY HOSPITAL,0.3088586144032589,0.012785103074472531,0.002861325525685387,151.0
WEST MIDLANDS HOSPITAL,0.36965489411042074,0.01265828176845126,0.0,73.125
"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",0.31631984877341857,0.012474436723477152,0.0,96.125
THE DUDLEY GROUP NHS FOUNDATION TRUST,0.4379461704167911,0.012270172512933646,1.8761538310338205e-05,628.6108374384237
SPIRE MURRAYFIELD HOSPITAL,0.25664106530818614,0.012124602642200158,0.0,96.54166666666667
MID YORKSHIRE TEACHING NHS TRUST,0.37651984575869935,0.012046807532489106,0.0,508.341059602649
ANGLIA COMMUNITY EYE SERVICE - FAKENHAM MEDICAL PRACTICE,0.047619047619047616,0.011904761904761904,0.011904761904761904,84.0
MOUNT ALVERNIA HOSPITAL,0.24927791966852855,0.011851851851851851,0.0,32.733333333333334
SPIRE CHESHIRE HOSPITAL,0.2575071296641591,0.01180756326939432,0.003189181227183878,91.89189189189189
NORTH BRISTOL NHS TRUST,0.3660945095522852,0.01175197031079325,0.00016694861164054183,465.8544776119403
AIREDALE NHS FOUNDATION TRUST,0.314571321221732,0.011353794180751015,0.0,345.99159663865544
THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.3812296220280231,0.011329605565927343,0.0010498379262274503,999.3939393939394
ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,0.1870530476235174,0.011189604907528319,0.010770141820279997,75.125
ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,0.1870530476235174,0.011189604907528319,0.010770141820279997,75.125
STOURSIDE HOSPITAL,0.32894047624971257,0.010987311384855753,0.0,165.28571428571428
LONDON INDEPENDENT HOSPITAL,0.2903571331658911,0.01090976190753547,7.371146224649478e-05,168.296875
SPIRE BRISTOL HOSPITAL,0.46411264596945784,0.010811960048282804,0.0,152.625
PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,0.25869306015650423,0.010455930687098542,0.0,144.90540540540542
SPIRE LIVERPOOL HOSPITAL,0.3022300594713192,0.010318663805241513,0.001925533212494632,132.64150943396226
NEWMEDICA - CHESHIRE OAKS,0.36647365946597243,0.0098490294751977,0.0,112.5
NUFFIELD HEALTH HIGHGATE HOSPITAL,0.15099112341462598,0.009832841859226123,0.002377951636574616,65.88888888888889
THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0.3345430624247882,0.009810241052423502,0.0,261.9264705882353
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0.3587354021543476,0.009788806921739345,4.160606340364937e-06,1023.3260869565217
"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",0.23791647871304983,0.009332844574780058,0.0,68.06666666666666
SPAMEDICA WOKINGHAM,0.031845374617737,0.009259259259259259,0.0,63.44444444444444
THE WESTBOURNE CENTRE,0.5906012995399443,0.009252257661499607,0.0,265.51724137931035
HAMPSHIRE CLINIC,0.47442847382163467,0.008811208893445735,0.0,38.3125
THE CHERWELL HOSPITAL,0.3246586592084594,0.008766281771327225,0.0024691358024691358,140.27777777777777
"NUFFIELD HEALTH, CHICHESTER HOSPITAL",0.25634818689572075,0.008549418940261563,0.0003127495757212738,101.625
